Date,Adj Close,Close,High,Low,Open,Volume,Stock
30-12-2025,3129.015381,3246.800049,3267.5,3239.5,3250,2807593,TCS.NS
30-12-2025,1587.252808,1621.599976,1647.900024,1616.800049,1647,9395937,INFY.NS
30-12-2025,1532.713379,1539.800049,1553.599976,1537.800049,1547,8815884,RELIANCE.NS
30-12-2025,974.777771,990.9000244,995,982.2000122,990.2000122,33155849,HDFCBANK.NS
30-12-2025,1342.5,1342.5,1347.099976,1338.099976,1343.300049,18621277,ICICIBANK.NS
30-12-2025,2099.800049,2099.800049,2102.800049,2071.600098,2077,6983390,BHARTIARTL.NS
30-12-2025,381.9705811,400.6000061,403.4500122,400.2999878,403,12340527,ITC.NS
30-12-2025,1704.630493,1720.199951,1723.099976,1707,1723.099976,2639497,SUNPHARMA.NS
30-12-2025,983.2556763,989.2999878,997.5999756,987.0999756,994.0999756,7473887,BAJFINANCE.NS
29-12-2025,3133.544678,3251.5,3288,3242.899902,3280,2079473,TCS.NS
29-12-2025,1609.863525,1644.699951,1673.099976,1637.099976,1658,4062817,INFY.NS
29-12-2025,1538.486694,1545.599976,1558.099976,1543.599976,1554.900024,5972105,RELIANCE.NS
29-12-2025,975.5646973,991.7000122,997.4000244,987.2000122,993.0999756,13545749,HDFCBANK.NS
29-12-2025,1343.300049,1343.300049,1355.699951,1341.5,1352.099976,6057201,ICICIBANK.NS
29-12-2025,2081.600098,2081.600098,2112.699951,2079.399902,2105.399902,2371034,BHARTIARTL.NS
29-12-2025,383.8775635,402.6000061,404.7999878,401.4500122,404.1000061,6647710,ITC.NS
29-12-2025,1701.657593,1717.199951,1727.5,1710.300049,1719.5,1800816,SUNPHARMA.NS
29-12-2025,991.9025879,998,1003.900024,989.5999756,1003,6715489,BAJFINANCE.NS
26-12-2025,3161.010986,3280,3320,3271.800049,3313.100098,1176664,TCS.NS
26-12-2025,1621.022095,1656.099976,1668.800049,1651.699951,1663.400024,2006491,INFY.NS
26-12-2025,1552.024048,1559.199951,1561,1554.300049,1554.699951,2311495,RELIANCE.NS
26-12-2025,975.9581909,992.0999756,997.2000122,987.7000122,996,9360853,HDFCBANK.NS
26-12-2025,1350.400024,1350.400024,1362,1348.5,1356.5,2812144,ICICIBANK.NS
26-12-2025,2105.399902,2105.399902,2123,2101.800049,2123,1297870,BHARTIARTL.NS
26-12-2025,385.3554688,404.1499939,407.1499939,403.8500061,406.5,3152453,ITC.NS
26-12-2025,1703.93689,1719.5,1737,1708,1737,2507337,SUNPHARMA.NS
26-12-2025,993.8903198,1000,1011.700012,998,1011.700012,5211460,BAJFINANCE.NS
24-12-2025,3198.596191,3319,3327.100098,3296.100098,3304.100098,1367708,TCS.NS
24-12-2025,1628.16748,1663.400024,1667.599976,1652.5,1661,4271167,INFY.NS
24-12-2025,1551.028687,1558.199951,1575.699951,1553.599976,1572.699951,8815745,RELIANCE.NS
24-12-2025,980.9752197,997.2000122,999.4000244,993,993,13699996,HDFCBANK.NS
24-12-2025,1359.800049,1359.800049,1368.199951,1357.599976,1363.800049,8955140,ICICIBANK.NS
24-12-2025,2123.699951,2123.699951,2137.199951,2111,2111,3145464,BHARTIARTL.NS
24-12-2025,387.6915588,406.6000061,409.5,405.6499939,407.9500122,5777430,ITC.NS
24-12-2025,1721.278564,1737,1759,1719,1755.900024,2224786,SUNPHARMA.NS
24-12-2025,1005.51886,1011.700012,1037.400024,1006,1011,5984816,BAJFINANCE.NS
23-12-2025,3189.922607,3310,3319.899902,3293.5,3319.899902,2365420,TCS.NS
23-12-2025,1632.963745,1668.300049,1679,1656.400024,1679,6593060,INFY.NS
23-12-2025,1563.471069,1570.699951,1580.900024,1568.099976,1580.900024,7506564,RELIANCE.NS
23-12-2025,980.3849487,996.5999756,998.9000244,987.7000122,990.5,17927849,HDFCBANK.NS
23-12-2025,1363,1363,1365,1357,1361.099976,9105467,ICICIBANK.NS
23-12-2025,2122.899902,2122.899902,2164,2119.199951,2157,4110853,BHARTIARTL.NS
23-12-2025,388.4066772,407.3500061,408.8999939,401.7999878,402.5,10081997,ITC.NS
23-12-2025,1740.007446,1755.900024,1774.599976,1751.699951,1772,1124853,SUNPHARMA.NS
23-12-2025,1005.220703,1011.400024,1018,1005.700012,1013.5,4712043,BAJFINANCE.NS
22-12-2025,3204.281982,3324.899902,3328.600098,3291,3310,2632816,TCS.NS
22-12-2025,1653.8125,1689.599976,1693.199951,1664,1664,23098923,INFY.NS
22-12-2025,1568.149536,1575.400024,1577.5,1565.300049,1573.5,10184852,RELIANCE.NS
22-12-2025,971.6298218,987.7000122,992.9000244,983.9000244,988,13540411,HDFCBANK.NS
22-12-2025,1368.5,1368.5,1371.300049,1354.800049,1358,9375294,ICICIBANK.NS
22-12-2025,2147.600098,2147.600098,2151.699951,2101.699951,2118,7670853,BHARTIARTL.NS
22-12-2025,383.9729309,402.7000122,403.6499939,401.2000122,401.6000061,6847871,ITC.NS
22-12-2025,1753.781616,1769.800049,1773.199951,1743.099976,1744.900024,1467257,SUNPHARMA.NS
22-12-2025,1001.6427,1007.799988,1015.400024,1005,1008.299988,3921237,BAJFINANCE.NS
19-12-2025,3162.938232,3282,3317.899902,3278.800049,3299,3902511,TCS.NS
19-12-2025,1603.990601,1638.699951,1654.900024,1629.800049,1650,13149023,INFY.NS
19-12-2025,1557.896851,1565.099976,1574.199951,1551,1554.400024,13937275,RELIANCE.NS
19-12-2025,969.4655762,985.5,988,978.7000122,987,25952384,HDFCBANK.NS
19-12-2025,1354.099976,1354.099976,1360.400024,1350.800049,1354,14318512,ICICIBANK.NS
19-12-2025,2097.699951,2097.699951,2115,2082,2113.899902,10127415,BHARTIARTL.NS
19-12-2025,382.3996277,401.0499878,402.6499939,400.25,400.25,10654835,ITC.NS
19-12-2025,1729.107056,1744.900024,1760,1741.199951,1747,2768986,SUNPHARMA.NS
19-12-2025,1002.139648,1008.299988,1014,1002.5,1003.200012,5126009,BAJFINANCE.NS
18-12-2025,3161.781738,3280.800049,3287.800049,3221,3228,2307422,TCS.NS
18-12-2025,1592.342773,1626.800049,1630,1606.699951,1610.5,6577293,INFY.NS
18-12-2025,1537.292236,1544.400024,1551.5,1535.199951,1535.199951,6580829,RELIANCE.NS
18-12-2025,963.7599487,979.7000122,987.4000244,973.2999878,973.2999878,14912404,HDFCBANK.NS
